indicativo,nombre,altitud,provincia,num_records,avg_tmin,avg_tmax,avg_prec,avg_velmedia,std_tmed,longest_gap_days
8309X,UTIEL,758,VALENCIA,3992,7.778018108651912,21.99129778672032,1.0687184661957618,3.570518331226296,7.011704152192766,5
8325X,POLINYÀ DE XÚQUER,11,VALENCIA,3954,13.400053248136317,23.05423322683706,1.546065001343003,1.8877540650406504,5.842222230829112,74
8337X,TURÍS,186,VALENCIA,3988,11.07285495403473,24.204085801838612,1.3884027411702689,,6.078910733025948,56
8354X,ALBARRACÍN,1130,TERUEL,3986,5.599899295065458,19.08081087887182,1.1616822429906544,2.5720040281973815,7.235618001989536,9
8368U,TERUEL,902,TERUEL,4018,6.104504728720757,21.36926331508213,1.0916962025316455,1.9604286070271617,7.429862913590143,0
8376,JABALOYAS,1430,TERUEL,4011,6.833383685800603,15.934491440080564,1.445826021559288,3.7926706827309236,7.34839126766511,19
8381X,ADEMUZ,705,VALENCIA,3997,6.097869674185463,22.370426065162906,1.1267785571142286,,7.163772329643724,17
8395X,CHELVA,515,VALENCIA,3978,10.45652834008097,23.098405870445344,1.194253164556962,2.7796918413740843,6.334433119879721,20
8409X,LLÍRIA,198,VALENCIA,4015,11.365921085699924,24.544935913546116,1.087082294264339,2.6410339660339663,6.200101900836571,9
8414A,VALENCIA AEROPUERTO,56,VALENCIA,4018,12.979322371699054,23.986447433981066,1.3440261437908496,3.7832835077229694,6.204512281630525,2
8416,VALÈNCIA,13,VALENCIA,4018,14.942707814833252,23.577924340467895,1.4111802853437097,,5.608927108234796,0
8439X,SEGORBE,400,CASTELLON,3982,9.829437119675456,22.197718052738338,1.274799274799275,1.8596924628182505,5.897249533604958,14
8446Y,SAGUNT/SAGUNTO,24,VALENCIA,4016,12.612321562734786,23.945154019534186,1.1866598517761306,,5.830168470417462,5
8458X,CEDRILLAS,1380,TERUEL,4015,4.411155477913651,16.54495756365452,1.3910044977511244,3.9348367804634936,6.974919259672337,2
8472A,MONTANEJOS,601,CASTELLON,4017,10.116336757704836,21.308093209721875,1.481699016889337,2.7642178910544732,6.259992046806731,7
8486X,MOSQUERUELA,1515,TERUEL,4015,5.75473631592102,15.754199999999999,1.7733951855566699,4.282488133899575,6.875509842651592,2
8489X,VILLAFRANCA DEL CID/VILAFRANCA,1130,CASTELLON,3980,5.956106774112314,18.007831780407955,1.7439793422125578,3.710938310005184,6.544772507274163,21
8492X,ATZENETA DEL MAESTRAT,420,CASTELLON,3973,9.048963075366716,23.23216995447648,1.551397632838076,2.218767365496337,6.354544214511141,10
8500A,CASTELLÓ - ALMASSORA,43,CASTELLON,4018,14.224589347934295,23.344112521782424,1.403811777076761,2.2721945137157107,5.853082899431874,1
8503Y,TORREBLANCA,35,CASTELLON,3969,14.13278313864906,22.523641442356528,1.3860970677451971,2.8858915906788245,5.584284677884543,27
8520X,LA POBLA DE BENIFASSÀ-FREDES,1165,CASTELLON,3944,7.373911853271284,15.763098822885299,2.134096168680895,3.8729908443540184,6.554783079485952,216
9001D,REINOSA,870,CANTABRIA,3931,4.140853499869894,16.319151704397605,1.8504197271773348,2.7474863245636882,5.799645607086284,11
9001S,ALTO CAMPOO,1650,CANTABRIA,3606,3.7303556187766715,11.433513513513514,3.4865058087578196,3.1865560640732262,5.963804369546405,37
9012E,SANTA GADEA DE ALFOZ,915,BURGOS,3983,6.217101958814666,15.12954773869347,1.893040201005025,,6.045514893803389,26
9016X,"VALDERREDIBLE, CUBILLO DE EBRO",770,CANTABRIA,4006,4.704043194374686,18.31815670517328,1.5535116220944762,2.3200250941028857,6.271936818006213,9
9019B,"VALDERREDIBLE, POLIENTES",720,CANTABRIA,3969,5.18303752535497,18.959432048681542,1.669609079445145,1.6737216993131518,6.230223060115078,11
9031C,BRIVIESCA,730,BURGOS,4018,6.333099824868651,18.015325193122347,1.2791381495564005,3.1711283462596946,6.488027690478772,21
